waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,379103	-2,492780E+0	-2,616166E-3
4/22/2022  09:49:08,379353	-2,494389E+0	-2,616166E-3
4/22/2022  09:49:08,379603	-2,495033E+0	-1,650609E-3
4/22/2022  09:49:08,379853	-2,495033E+0	-2,938018E-3
4/22/2022  09:49:08,380103	-2,493101E+0	-1,972462E-3
4/22/2022  09:49:08,380353	-2,495033E+0	-1,328757E-3
4/22/2022  09:49:08,380603	-2,493101E+0	-1,972462E-3
4/22/2022  09:49:08,380853	-2,494067E+0	-1,328757E-3
4/22/2022  09:49:08,381103	-2,495998E+0	-2,616166E-3
4/22/2022  09:49:08,381353	-2,494389E+0	-3,632007E-4
4/22/2022  09:49:08,381603	-2,493745E+0	-1,650609E-3
4/22/2022  09:49:08,381853	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,382103	-2,493745E+0	-2,938018E-3
4/22/2022  09:49:08,382353	-2,493745E+0	-3,259870E-3
4/22/2022  09:49:08,382603	-2,495676E+0	-2,616166E-3
4/22/2022  09:49:08,382853	-2,494389E+0	-1,328757E-3
4/22/2022  09:49:08,383103	-2,494067E+0	-1,650609E-3
4/22/2022  09:49:08,383353	-2,494389E+0	-2,616166E-3
4/22/2022  09:49:08,383603	-2,494711E+0	-1,650609E-3
4/22/2022  09:49:08,383853	-2,492780E+0	-3,903575E-3
4/22/2022  09:49:08,384103	-2,495676E+0	-1,650609E-3
4/22/2022  09:49:08,384353	-2,495033E+0	-1,650609E-3
4/22/2022  09:49:08,384603	-2,493423E+0	-4,134846E-5
4/22/2022  09:49:08,384853	-2,493101E+0	-4,134846E-5
4/22/2022  09:49:08,385103	-2,495033E+0	-1,972462E-3
4/22/2022  09:49:08,385353	-2,494711E+0	-3,259870E-3
4/22/2022  09:49:08,385603	-2,493423E+0	-1,006905E-3
4/22/2022  09:49:08,385853	-2,495354E+0	-2,294314E-3
4/22/2022  09:49:08,386103	-2,494389E+0	-2,294314E-3
4/22/2022  09:49:08,386353	-2,494389E+0	-2,938018E-3
4/22/2022  09:49:08,386603	-2,495033E+0	-1,650609E-3
4/22/2022  09:49:08,386853	-2,494067E+0	-1,972462E-3
